Company,Skill Area,Skill Match Score,Available Contacts
BML Munjal University,Agentic AI & LLM,1,3
GoAir,Agentic AI & LLM,1,3
Iron Mountain,Agentic AI & LLM,1,3
Teamlease Services Limited,Agentic AI & LLM,1,3
AISATS,Agentic AI & LLM,1,2
Air Liquide USA,Agentic AI & LLM,1,2
Aircel,Agentic AI & LLM,1,2
Aissel Technologies Pvt. Ltd,Agentic AI & LLM,1,2
Automation Anywhere,Agentic AI & LLM,1,2
Career Sailors,Agentic AI & LLM,1,2
JAI BALAJI GROUP,Agentic AI & LLM,1,2
Jai Vaishno Placement Network,Agentic AI & LLM,1,2
Jaiprakash Associates Ltd.,Agentic AI & LLM,1,2
Jet Airways,Agentic AI & LLM,1,2
Jumbotail,Agentic AI & LLM,1,2
Koutons Retail India Limited,Agentic AI & LLM,1,2
Milk Mantra Dairy,Agentic AI & LLM,1,2
Om Sai Placement,Agentic AI & LLM,1,2
Orphan Container,Agentic AI & LLM,1,2
Paisabazaar,Agentic AI & LLM,1,2
Sai Nath Placement,Agentic AI & LLM,1,2
Sai Placement And Consultant,Agentic AI & LLM,1,2
Sai Solution Placement Services,Agentic AI & LLM,1,2
Sheenlac Paints Limited,Agentic AI & LLM,1,2
TAI Infotech,Agentic AI & LLM,1,2
Tata AIA,Agentic AI & LLM,1,2
Tata AIG General Insurance Company,Agentic AI & LLM,1,2
qainfotech.net,Agentic AI & LLM,1,2
AIESEC Hyderabad,Agentic AI & LLM,1,1
AIESEC India,Agentic AI & LLM,1,1
AIMS Migital Technovations Pvt. Ltd,Agentic AI & LLM,1,1
AISPL1,Agentic AI & LLM,1,1
Aerodry Plastics Automation Pvt Ltd,Agentic AI & LLM,1,1
Aguai Solutions Pvt Ltd,Agentic AI & LLM,1,1
Aimfill International,Agentic AI & LLM,1,1
Aims Migital Tech Pvt Ltd,Agentic AI & LLM,1,1
QRT 24x7 Security Pvt. Ltd.,Computer Vision,1,3
A. R Security & Placement Services,Computer Vision,1,1
Arc Security Solutions Pvt Ltd,Computer Vision,1,1
CIMAGE,Computer Vision,1,1
Cinimage Studios Pvt Ltd,Computer Vision,1,1
Commando Protection Security Ind Private Limited,Computer Vision,1,1
Cvcorp,Computer Vision,1,1
Cyber Security Delhi,Computer Vision,1,1
D. K. Pro. Security Service & Gen. Man Power Consultants,Computer Vision,1,1
Hi- Tech Security & Placement,Computer Vision,1,1
Impact Image Consultants,Computer Vision,1,1
Industrial Security & Placement Corporation Private Limited,Computer Vision,1,1
S. V. I. Security & Placement Service,Computer Vision,1,1
Safety Security & Instrumentation Engineering Solutions,Computer Vision,1,1
Seven Ring Security,Computer Vision,1,1
Shri Shyam Security and Manpower PLacement Service,Computer Vision,1,1
Sony Pictures Imageworks,Computer Vision,1,1
Vasundhra Security & Placement Services Pvt.ltd.,Computer Vision,1,1
Video Volunteers,Computer Vision,1,1
Videocon Consumer Durables,Computer Vision,1,1
vasundhra security  placement services,Computer Vision,1,1
LatentView Analytics,Data Science,2,3
ABSOLUTDATA RESEARCH & ANALYTICS SOLUTIONS PRIVATE LIMITED,Data Science,3,2
AbsolutData Research & Analytics,Data Science,3,2
Perceptive Analytics,Data Science,2,2
AEL Data,Data Science,1,2
Asian Institute of Medical Sciences,Data Science,1,2
Data Infovision,Data Science,1,2
Data Template,Data Science,1,2
Department of Computer Science,Data Science,1,2
Science Olympiad Foundation,Data Science,1,2
Absolutdata Analytics,Data Science,3,1
Analytics India Magazine,Data Science,2,1
Analytics Vidhya,Data Science,2,1
BRIDGEi2i Analytics Solutions,Data Science,2,1
Fractal Analytics Inc.,Data Science,2,1
P.E. Analytics,Data Science,2,1
Scalar Analytics,Data Science,2,1
Scry Analytics,Data Science,2,1
vPhrase Analytics Solutions Pvt. Ltd.,Data Science,2,1
AbsolutData,Data Science,1,1
Ace Data,Data Science,1,1
BDS Services Pvt Ltd (formerly Balaji Data Solutions),Data Science,1,1
BL Lifesciences Pvt Ltd,Data Science,1,1
BizSciences Pvt. Limited,Data Science,1,1
Datamatics Global Services,Data Science,1,1
Datametica Solutions Private Limited,Data Science,1,1
Datawrkz Pte Ltd,Data Science,1,1
GVK Biosciences,Data Science,1,1
Hester Biosciences Limited,Data Science,1,1
Idatalytics,Data Science,1,1
India-Data-Entry-Services,Data Science,1,1
PDP COURIERS - Specialist global courier serving life sciences industry worldwide,Data Science,1,1
Shreya Life Sciences Pvt. Ltd.,Data Science,1,1
Strand Life Sciences,Data Science,1,1
Xcode Life Sciences,Data Science,1,1
iSquare Data Systems (P) Ltd,Data Science,1,1
Indus Net Technologies,Full-Stack Development,1,4
Tata Technologies Ltd,Full-Stack Development,1,4
itsinfotech.org,Full-Stack Development,1,4
A-1 Technology,Full-Stack Development,1,3
AppStudioz Technologies Pvt. Ltd.,Full-Stack Development,1,3
Bit Order Technologies,Full-Stack Development,1,3
Metacube Software Pvt Ltd,Full-Stack Development,1,3
Ola (ANI Technologies Pvt Ltd),Full-Stack Development,1,3
TIBCO Software,Full-Stack Development,1,3
TIBCO Software Inc.,Full-Stack Development,1,3
Tata Technologies,Full-Stack Development,1,3
YASH Technologies,Full-Stack Development,1,3
iSTAR Skill Development Pvt Ltd,Full-Stack Development,1,3
novelsoftware.org,Full-Stack Development,1,3
CresTech Software Systems Pvt.Ltd.,Full-Stack Development,2,2
56N Software Pvt Ltd,Full-Stack Development,1,2
A world wide web service,Full-Stack Development,1,2
ACS Technologies,Full-Stack Development,1,2
Absolutdata Technologies,Full-Stack Development,1,2
Aditya Dispomed Products Private Limited,Full-Stack Development,1,2
Agathist Technologies,Full-Stack Development,1,2
Amura Marketing Technologies,Full-Stack Development,1,2
Anand Motor Products Pvt. Ltd.,Full-Stack Development,1,2
Atria Convergence Technologies,Full-Stack Development,1,2
CA Technologies,Full-Stack Development,1,2
CLOVE TECHNOLOGIES PVT. LTD.,Full-Stack Development,1,2
Capillary Technologies,Full-Stack Development,1,2
Cogzidel Technologies Pvt Ltd,Full-Stack Development,1,2
CollabNet Software Private Limited,Full-Stack Development,1,2
Cryptograph Technologies Pvt. Ltd.,Full-Stack Development,1,2
Cubet Techno Labs,Full-Stack Development,1,2
D SQUARE TECH LABS,Full-Stack Development,1,2
Daffodil Software,Full-Stack Development,1,2
DataWeave Software Pvt. Ltd.,Full-Stack Development,1,2
Di Infotech Private Limited,Full-Stack Development,1,2
Don Bosco Tech Society,Full-Stack Development,1,2
